riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs113976843-?	1E-20	-	NR	-	-	-	LINC01681	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	1:170254627	35285134	"Temprano-Sagrera G"
rs2842700-?	7E-10	-	NR	-	-	-	C4BPA	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	1:207108804	35285134	"Temprano-Sagrera G"
rs1867312-?	6E-10	-	NR	-	-	-	PLEK	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	2:68392849	35285134	"Temprano-Sagrera G"
rs710446-?	6E-304	-	NR	-	-	-	KNG1,HRG-AS1	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	3:186742138	35285134	"Temprano-Sagrera G"
rs2066864-?	2E-59	-	NR	-	-	-	FGG	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	4:154604543	35285134	"Temprano-Sagrera G"
rs3756011-?	1E-251	-	NR	-	-	-	F11	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	4:186285095	35285134	"Temprano-Sagrera G"
rs4541868-?	2E-13	-	NR	-	-	-	ZFPM2,ZFPM2-AS1	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	8:105578477	35285134	"Temprano-Sagrera G"
rs2769071-?	3E-176	-	NR	-	-	-	ABO	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	9:133270565	35285134	"Temprano-Sagrera G"
rs74991751-?	1E-12	-	NR	-	-	-	ARL5B,AIFM1P1	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	10:18703947	35285134	"Temprano-Sagrera G"
rs78707713-?	3E-30	-	NR	-	-	-	TSPAN15	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	10:69485520	35285134	"Temprano-Sagrera G"
rs10886430-?	5E-12	-	NR	-	-	-	GRK5	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	10:119250744	35285134	"Temprano-Sagrera G"
rs149903077-?	2E-27	-	NR	-	-	-	CREB3L1,DGKZ	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	11:46328146	35285134	"Temprano-Sagrera G"
rs191945075-?	6E-32	-	NR	-	-	-	LRP4	"Venous thromboembolism or factor XI levels (pleiotropy)"	"factor XI measurement,venous thromboembolism"	-	GCST90129538	11:46911760	35285134	"Temprano-Sagrera G"
rs2842700-?	5E-10	-	NR	-	-	-	C4BPA	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	1:207108804	35285134	"Temprano-Sagrera G"
rs1867312-?	6E-10	-	NR	-	-	-	PLEK	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	2:68392849	35285134	"Temprano-Sagrera G"
rs2289252-?	4E-66	-	NR	-	-	-	F11,F11-AS1	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	4:186286227	35285134	"Temprano-Sagrera G"
rs4869589-?	2E-9	-	NR	-	-	-	OSMR-DT	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	5:38707769	35285134	"Temprano-Sagrera G"
rs548630-?	8E-10	-	NR	-	-	-	FCHO2,TMEM171	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	5:73110832	35285134	"Temprano-Sagrera G"
rs73568968-?	1E-24	-	NR	-	-	-	SCARA5	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	8:27953196	35285134	"Temprano-Sagrera G"
rs4541868-?	2E-13	-	NR	-	-	-	ZFPM2,ZFPM2-AS1	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	8:105578477	35285134	"Temprano-Sagrera G"
rs140511201-?	5E-18	-	NR	-	-	-	GTF3C4	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	9:132684768	35285134	"Temprano-Sagrera G"
rs78707713-?	1E-30	-	NR	-	-	-	TSPAN15	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	10:69485520	35285134	"Temprano-Sagrera G"
rs191945075-?	1E-32	-	NR	-	-	-	LRP4	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	11:46911760	35285134	"Temprano-Sagrera G"
rs141325867-?	4E-17	-	NR	-	-	-	PSMC3	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	11:47422103	35285134	"Temprano-Sagrera G"
rs78516619-?	8E-59	-	NR	-	-	-	LINC00970	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	1:168920135	35285134	"Temprano-Sagrera G"
rs6025-?	9E-193	-	NR	-	-	-	F5	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	1:169549811	35285134	"Temprano-Sagrera G"
rs114938873-?	2E-18	-	NR	-	-	-	LINC01681	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	1:170259832	35285134	"Temprano-Sagrera G"
rs710446-?	4E-11	-	NR	-	-	-	KNG1,HRG-AS1	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	3:186742138	35285134	"Temprano-Sagrera G"
rs2066864-?	7E-60	-	NR	-	-	-	FGG	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	4:154604543	35285134	"Temprano-Sagrera G"
rs9390460-?	2E-21	-	NR	-	-	-	STXBP5	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	6:147373198	35285134	"Temprano-Sagrera G"
rs2073826-?	5E-324	-	NR	-	-	-	ABO	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	9:133261560	35285134	"Temprano-Sagrera G"
rs10886430-?	5E-12	-	NR	-	-	-	GRK5	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	10:119250744	35285134	"Temprano-Sagrera G"
rs10838599-?	1E-16	-	NR	-	-	-	DGKZ	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	11:46357158	35285134	"Temprano-Sagrera G"
rs117784795-?	9E-16	-	NR	-	-	-	PTPRJ	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	11:48030514	35285134	"Temprano-Sagrera G"
rs35257264-?	2E-10	-	NR	-	-	-	KIRREL3,ST3GAL4	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	11:126426921	35285134	"Temprano-Sagrera G"
rs1063856-?	2E-34	-	NR	-	-	-	VWF	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	12:6044368	35285134	"Temprano-Sagrera G"
rs4981022-?	3E-21	-	NR	-	-	-	STAB2	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	12:103756096	35285134	"Temprano-Sagrera G"
rs10498632-?	7E-13	-	NR	-	-	-	TC2N	"Venous thromboembolism or factor VIII levels (pleiotropy)"	"factor VIII measurement,venous thromboembolism"	-	GCST90129536	14:91824400	35285134	"Temprano-Sagrera G"
rs16861846-?	3E-10	-	NR	-	-	-	LINC00970	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	1:168992330	35285134	"Temprano-Sagrera G"
rs6025-?	3E-190	-	NR	-	-	-	F5	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	1:169549811	35285134	"Temprano-Sagrera G"
rs12128116-?	2E-12	-	NR	-	-	-	SIGLEC30P,KIFAP3	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	1:170095471	35285134	"Temprano-Sagrera G"
rs1867312-?	6E-10	-	NR	-	-	-	PLEK	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	2:68392849	35285134	"Temprano-Sagrera G"
rs2066864-?	2E-59	-	NR	-	-	-	FGG	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	4:154604543	35285134	"Temprano-Sagrera G"
rs2289252-?	2E-65	-	NR	-	-	-	F11,F11-AS1	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	4:186286227	35285134	"Temprano-Sagrera G"
rs2227631-?	5E-14	-	NR	-	-	-	TRIM56,SERPINE1	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	7:101126257	35285134	"Temprano-Sagrera G"
rs6993770-?	1E-14	-	NR	-	-	-	ZFPM2,ZFPM2-AS1	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	8:105569300	35285134	"Temprano-Sagrera G"
rs687289-?	3E-174	-	NR	-	-	-	ABO	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	9:133261703	35285134	"Temprano-Sagrera G"
rs17490626-?	5E-29	-	NR	-	-	-	TSPAN15	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	10:69458890	35285134	"Temprano-Sagrera G"
rs10886430-?	5E-12	-	NR	-	-	-	GRK5	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	10:119250744	35285134	"Temprano-Sagrera G"
rs4506602-?	6E-15	-	NR	-	-	-	CKAP5	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	11:46794083	35285134	"Temprano-Sagrera G"
rs1063856-?	2E-12	-	NR	-	-	-	VWF	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	12:6044368	35285134	"Temprano-Sagrera G"
rs12445050-?	1E-12	-	NR	-	-	-	PLCG2	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	16:81837364	35285134	"Temprano-Sagrera G"
rs1560711-?	1E-18	-	NR	-	-	-	SLC44A2	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	19:10631611	35285134	"Temprano-Sagrera G"
rs6087685-?	1E-20	-	NR	-	-	-	PROCR	"Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)"	"venous thromboembolism,plasminogen activator inhibitor 1 measurement"	-	GCST90129541	20:35189809	35285134	"Temprano-Sagrera G"
rs10761784-?	3E-10	-	NR	-	-	-	REEP3	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	10:63548990	35285134	"Temprano-Sagrera G"
rs78707713-?	2E-30	-	NR	-	-	-	TSPAN15	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	10:69485520	35285134	"Temprano-Sagrera G"
rs10886430-?	5E-12	-	NR	-	-	-	GRK5	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	10:119250744	35285134	"Temprano-Sagrera G"
rs1799963-?	4E-31	-	NR	-	-	-	F2	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	11:46739505	35285134	"Temprano-Sagrera G"
rs140541052-?	4E-17	-	NR	-	-	-	SPI1	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	11:47368220	35285134	"Temprano-Sagrera G"
rs117784795-?	1E-15	-	NR	-	-	-	PTPRJ	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	11:48030514	35285134	"Temprano-Sagrera G"
rs7946992-?	1E-17	-	NR	-	-	-	MS4A6A	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	11:60177337	35285134	"Temprano-Sagrera G"
rs1149616-?	7E-11	-	NR	-	-	-	TSKU	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	11:76787325	35285134	"Temprano-Sagrera G"
rs1558519-?	6E-13	-	NR	-	-	-	VWF	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	12:6044572	35285134	"Temprano-Sagrera G"
rs1046205-?	5E-324	-	NR	-	-	-	MCF2L	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	13:113097743	35285134	"Temprano-Sagrera G"
rs12445050-?	6E-13	-	NR	-	-	-	PLCG2	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	16:81837364	35285134	"Temprano-Sagrera G"
rs4548995-?	4E-19	-	NR	-	-	-	SLC44A2	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	19:10630195	35285134	"Temprano-Sagrera G"
rs17332951-?	6E-12	-	NR	-	-	-	RPS2P1,ASIP	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	20:34176377	35285134	"Temprano-Sagrera G"
rs76185438-?	1E-28	-	NR	-	-	-	PIGU	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	20:34676927	35285134	"Temprano-Sagrera G"
rs7265317-?	5E-71	-	NR	-	-	-	PROCR	"Venous thromboembolism or factor VII levels (pleiotropy)"	"venous thromboembolism,factor VII measurement"	-	GCST90129535	20:35180720	35285134	"Temprano-Sagrera G"
rs200787930-T	1E-29	-	0.988	33.333336	-	-	PLCB2	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	15:40289298	30402224	"Yamada Y"
rs61734696-G	2E-29	-	0.988	33.333336	-	-	ANP32CP,MARCHF1	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	4:164197303	30402224	"Yamada Y"
rs199921354-T	3E-29	-	0.988	33.333336	-	-	VPS33B-DT,VPS33B	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	15:91013841	30402224	"Yamada Y"
rs188378669-G	3E-29	-	0.988	33.333336	-	-	CXCL8	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	4:73741568	30402224	"Yamada Y"
rs115287176-G	1E-28	-	0.988	33.333336	-	-	TMOD4	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	1:151170961	30402224	"Yamada Y"
rs146092501-T	3E-28	-	0.988	25.0	-	-	COL6A3	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	2:237371861	30402224	"Yamada Y"
rs146879198-G	3E-28	-	0.988	25.0	-	-	ZNF77	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	19:2934109	30402224	"Yamada Y"
rs192210727-G	3E-23	-	0.987	10.0	-	-	ADGRL3	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	4:61909615	30402224	"Yamada Y"
rs11823828-T	4E-21	-	0.634	1.54	-	-	OR52E4,TRIM5	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	11:5884973	30402224	"Yamada Y"
rs671-A	4E-15	-	0.73	1.41	-	-	ALDH2	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	12:111803962	30402224	"Yamada Y"
rs1970112-C	1E-8	-	0.41	1.27	-	[1.17-1.38]	CDKN2B-AS1	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	9:22085599	32077919	"Antikainen AAV"
rs181176493-A	2E-7	-	0.01	3.88	-	[2.33-6.47]	RN7SL807P,HIGD1AP4	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	2:223293148	32077919	"Antikainen AAV"
rs70962766-C	5E-7	-	0.99	0.2	-	[0.11-0.37]	B3GNT2,COMMD1	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	2:62179865	32077919	"Antikainen AAV"
rs138181578-AT	7E-7	-	0.99	0.18	-	[0.09-0.35]	CLIC5,RUNX2	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	6:45758094	32077919	"Antikainen AAV"
rs10625784-TAAA	8E-7	-	0.99	0.23	-	[0.13-0.42]	LINC02719,GUCY1A2	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	11:106323171	32077919	"Antikainen AAV"
rs79237700-C	2E-6	-	0.04	1.82	-	[1.42-2.33]	LINC02490,WDR72	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	15:53449415	32077919	"Antikainen AAV"
rs574480779-T	9E-7	-	0.03	2.27	-	[1.64-3.15]	MRPL22,KIF4B	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	5:155011321	32077919	"Antikainen AAV"
rs1344228-T	8E-6	-	0.11	1.33	-	[1.17-1.51]	ELOAP1,LINC01826	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	2:123529348	32077919	"Antikainen AAV"
rs6055069-C	1E-6	-	0.98	0.38	-	[0.25-0.56]	DEFB126,DEFB127	"Coronary artery disease in type 1 diabetes"	"coronary artery disease"	"type 1 diabetes mellitus"	GCST011116	20:153643	32077919	"Antikainen AAV"
rs1994016-C	5E-13	-	0.60	1.19	-	[1.13-1.24]	ADAMTS7	"Coronary artery disease"	"coronary artery disease"	-	GCST000945	15:78787892	21239051	"Reilly MP"
rs646776-T	8E-11	-	0.79	1.33	-	[1.22-1.44]	PSRC1,CELSR2	"Coronary artery disease"	"coronary artery disease"	-	GCST000945	1:109275908	21239051	"Reilly MP"
rs4977574-G	5E-14	-	0.53	1.3	-	[1.22-1.39]	CDKN2B-AS1	"Coronary artery disease"	"coronary artery disease"	-	GCST000945	9:22098575	21239051	"Reilly MP"
rs9818870-T	7E-13	-	0.15	1.15	-	[1.11-1.19]	MRAS	"Coronary heart disease"	"coronary artery disease"	-	GCST000338	3:138403280	19198612	"Erdmann J"
rs2259816-T	5E-7	-	0.36	1.08	-	[1.05-1.11]	HNF1A	"Coronary heart disease"	"coronary artery disease"	-	GCST000338	12:120997784	19198612	"Erdmann J"
rs3739998-C	1E-11	-	0.44	1.15	-	[1.11-1.20]	JCAD	"Coronary heart disease"	"coronary artery disease"	-	GCST000875	10:30027143	21088011	"Erdmann J"
rs1333042-?	1E-9	-	NR	1.3	-	[1.19-1.41]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001845	9:22103814	23364394	"Lee JY"
rs11066015-A	5E-11	-	NR	1.41	-	[1.27-1.56]	ACAD10	"Coronary heart disease"	"coronary artery disease"	-	GCST001845	12:111730205	23364394	"Lee JY"
rs886126-T	1E-6	-	0.66	1.14	-	[1.08-1.20]	CUX2	"Coronary heart disease"	"coronary artery disease"	-	GCST001845	12:111241410	23364394	"Lee JY"
rs3782889-C	4E-14	-	0.21	1.26	-	[1.19-1.34]	MYL2	"Coronary heart disease"	"coronary artery disease"	-	GCST001845	12:110912851	23364394	"Lee JY"
rs9508025-C	6E-7	-	0.50	1.14	-	[1.08-1.20]	FLT1	"Coronary heart disease"	"coronary artery disease"	-	GCST001845	13:28409926	23364394	"Lee JY"
rs11752643-T	5E-7	-	0.06	1.26	-	[1.15-1.38]	HLA-DQB1,MTCO3P1	"Coronary heart disease"	"coronary artery disease"	-	GCST001260	6:32701596	21971053	"Takeuchi F"
rs944797-C	6E-16	-	0.46	1.25	-	[1.18-1.31]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001260	9:22115287	21971053	"Takeuchi F"
rs671-A	2E-34	-	0.23	1.43	-	[1.35-1.51]	ALDH2	"Coronary heart disease"	"coronary artery disease"	-	GCST001260	12:111803962	21971053	"Takeuchi F"
rs1333049-C	1E-13	" "	0.47	1.47	-	[1.27-1.70]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000045	9:22125504	17554300	"Wellcome Trust Case Control Consortium"
rs17672135-T	2E-6	-	0.87	1.43	-	[1.23-1.64]	FMN2	"Coronary heart disease"	"coronary artery disease"	-	GCST000045	1:240282296	17554300	"Wellcome Trust Case Control Consortium"
rs688034-T	4E-6	-	0.31	1.11	-	[0.99-1.25]	SEZ6L	"Coronary heart disease"	"coronary artery disease"	-	GCST000045	22:26293669	17554300	"Wellcome Trust Case Control Consortium"
rs8055236-G	6E-6	-	0.80	1.91	-	[1.33-2.74]	CDH13	"Coronary heart disease"	"coronary artery disease"	-	GCST000045	16:83178793	17554300	"Wellcome Trust Case Control Consortium"
rs599839-A	4E-9	-	0.77	1.29	-	[1.18-1.40]	CELSR2,PSRC1	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	1:109279544	17634449	"Samani NJ"
rs17228212-C	2E-7	" "	0.30	1.21	-	[1.13-1.30]	SMAD3	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	15:67166301	17634449	"Samani NJ"
rs6922269-A	3E-8	" "	0.25	1.23	-	[1.15-1.33]	MTHFD1L	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	6:150931849	17634449	"Samani NJ"
rs2943634-C	2E-7	" "	0.65	1.21	-	[1.13-1.30]	MIR5702,NYAP2	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	2:226203364	17634449	"Samani NJ"
rs501120-T	9E-8	-	0.87	1.33	-	[1.20-1.48]	LINC00841,LINC03089	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	10:44258419	17634449	"Samani NJ"
rs17465637-C	1E-6	-	0.71	1.2	-	[1.12-1.30]	MIA3	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	1:222650187	17634449	"Samani NJ"
rs1333049-C	3E-19	" "	0.47	1.36	-	[1.27-1.46]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000057	9:22125504	17634449	"Samani NJ"
"rs10755578-C,rs2048327-C,rs7767084-T,rs3127599-C"	4E-15	-	0.02	1.82	-	[1.57-2.12]	"LPA; SLC22A3; LPA; LPAL2"	"Coronary heart disease"	"coronary artery disease"	-	GCST000341	"6:160548706,6:160442500,6:160541471,6:160486102"	19198611	"Trégouët DA"
"rs10755578-G,rs2048327-C,rs7767084-T,rs3127599-T"	1E-9	-	0.16	1.2	-	[1.13-1.28]	"LPA; SLC22A3; LPA; LPAL2"	"Coronary heart disease"	"coronary artery disease"	-	GCST000341	"6:160548706,6:160442500,6:160541471,6:160486102"	19198611	"Trégouët DA"
rs17577085-?	4E-6	-	0.46	2.631579	-	[1.72-3.85]	SPRY4-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000972	5:142484039	21347282	"Lettre G"
rs13232179-A	1E-6	-	0.11	1.67	-	[1.36-2.06]	CRYGN,WDR86-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000972	7:151423862	21347282	"Lettre G"
rs9546711-A	2E-6	-	0.42	1.66	-	[1.35-2.04]	UBE2D3P4,MTND4P1	"Coronary heart disease"	"coronary artery disease"	-	GCST000972	13:84480131	21347282	"Lettre G"
rs4380028-C	4E-9	-	0.65	1.07	-	[1.05-1.10]	MORF4L1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	15:78818751	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs10953541-C	3E-8	-	0.80	1.08	-	[1.05-1.11]	DUS4L-BCAP29,BCAP29	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	7:107604100	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs2505083-C	4E-8	-	0.38	1.07	-	[1.04-1.09]	JCAD	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	10:30046193	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs5943057-?	9E-7	-	NR	-	-	-	CHRDL1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	X:110695977	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs840616-?	7E-7	-	NR	-	-	-	CALCRL-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	2:187331742	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs2472299-?	3E-6	-	NR	-	-	-	CYP1A2,CYP1A1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	15:74741059	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs6504218-?	1E-6	-	NR	-	-	-	PECAM1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	17:64330939	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs7586970-?	9E-6	-	NR	-	-	-	TFPI,CALCRL-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	2:187478770	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs1332844-T	6E-8	-	NR	1.11	-	[1.07-1.15]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	6:12888772	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs4977574-G	2E-25	-	NR	1.2	-	[1.16-1.25]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	9:22098575	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
